station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station59;Wind;2019;1;2;21;3.1
station313;Wind;2019;1;2;21;1.59583333333333
station252;Wind;2019;1;2;21;3.2925
station206;Wind;2019;1;2;21;1.55
station229;Wind;2019;1;2;21;2.96016666666667
station322;Wind;2019;1;2;21;1.85783333333333
station318;Wind;2019;1;2;21;1.70833333333333
station105;Wind;2019;1;2;21;-215.546666666667
station82;Wind;2019;1;2;22;1.03666666666667
station254;Wind;2019;1;2;22;0.5515
station319;Wind;2019;1;2;22;0.76
station271;Wind;2019;1;2;22;1.10466666666667
station349;Wind;2019;1;2;22;-999
station83;Wind;2019;1;2;22;1.11166666666667
station68;Wind;2019;1;2;22;2.51833333333333
station197;Wind;2019;1;2;22;1.40733333333333
station59;Wind;2019;1;2;22;1.07166666666667
station313;Wind;2019;1;2;22;1.49166666666667
station252;Wind;2019;1;2;22;1.42983333333333
station206;Wind;2019;1;2;22;1.54166666666667
station229;Wind;2019;1;2;22;2.21216666666667
station322;Wind;2019;1;2;22;1.63683333333333
station318;Wind;2019;1;2;22;1.19383333333333
station105;Wind;2019;1;2;22;-131.81
station82;Wind;2019;1;2;23;0.843333333333334
station254;Wind;2019;1;2;23;0.553833333333333
station319;Wind;2019;1;2;23;0.514666666666666
station271;Wind;2019;1;2;23;1.00216666666667
station349;Wind;2019;1;2;23;-999
station83;Wind;2019;1;2;23;1.23333333333333
station68;Wind;2019;1;2;23;2.035
station197;Wind;2019;1;2;23;1.40383333333333
station59;Wind;2019;1;2;23;0.951666666666666
station313;Wind;2019;1;2;23;1.19566666666667
station252;Wind;2019;1;2;23;2.185
station206;Wind;2019;1;2;23;1.08166666666667
station229;Wind;2019;1;2;23;2.05616666666667
station322;Wind;2019;1;2;23;1.67516666666667
station318;Wind;2019;1;2;23;1.14583333333333
station105;Wind;2019;1;2;23;-130.725
station82;Wind;2019;1;3;0;0.825
station254;Wind;2019;1;3;0;0.530166666666667
station319;Wind;2019;1;3;0;0.661166666666666
station271;Wind;2019;1;3;0;1.04566666666667
station349;Wind;2019;1;3;0;-999
station83;Wind;2019;1;3;0;0.758333333333333
station68;Wind;2019;1;3;0;2.60166666666667
station197;Wind;2019;1;3;0;1.358
station59;Wind;2019;1;3;0;1.12
station313;Wind;2019;1;3;0;1.30733333333333
station252;Wind;2019;1;3;0;1.57983333333333
station206;Wind;2019;1;3;0;1.17
station229;Wind;2019;1;3;0;1.93966666666667
station322;Wind;2019;1;3;0;1.61516666666667
station318;Wind;2019;1;3;0;0.805166666666666
station105;Wind;2019;1;3;0;-181.133333333333
station82;Wind;2019;1;3;1;0.61
station254;Wind;2019;1;3;1;0.8255
station319;Wind;2019;1;3;1;0.635
station271;Wind;2019;1;3;1;1.42183333333333
station349;Wind;2019;1;3;1;-999
station83;Wind;2019;1;3;1;0.918333333333333
station68;Wind;2019;1;3;1;2.57333333333333
station197;Wind;2019;1;3;1;1.4335
station59;Wind;2019;1;3;1;1.06666666666667
station313;Wind;2019;1;3;1;1.25433333333333
station252;Wind;2019;1;3;1;1.51333333333333
station206;Wind;2019;1;3;1;0.871666666666667
station229;Wind;2019;1;3;1;1.33133333333333
station322;Wind;2019;1;3;1;1.12166666666667
station318;Wind;2019;1;3;1;1.053
station105;Wind;2019;1;3;1;-148.503333333333
station82;Wind;2019;1;3;2;0.655
station254;Wind;2019;1;3;2;0.647333333333333
station319;Wind;2019;1;3;2;0.675166666666666
station271;Wind;2019;1;3;2;0.912666666666667
station349;Wind;2019;1;3;2;-999
station83;Wind;2019;1;3;2;0.77
station68;Wind;2019;1;3;2;2.46833333333333
station197;Wind;2019;1;3;2;1.55916666666667
station59;Wind;2019;1;3;2;0.786666666666667
station313;Wind;2019;1;3;2;1.44333333333333
station252;Wind;2019;1;3;2;1.33516666666667
station206;Wind;2019;1;3;2;0.916666666666667
station229;Wind;2019;1;3;2;0.904
station322;Wind;2019;1;3;2;0.960333333333333
station318;Wind;2019;1;3;2;1.17583333333333
station105;Wind;2019;1;3;2;-181.776666666667
station82;Wind;2019;1;3;3;0.761666666666667
station254;Wind;2019;1;3;3;0.479833333333333
station319;Wind;2019;1;3;3;0.523
station271;Wind;2019;1;3;3;1.28083333333333
station349;Wind;2019;1;3;3;-999
station83;Wind;2019;1;3;3;1.1
station68;Wind;2019;1;3;3;1.94666666666667
station197;Wind;2019;1;3;3;1.422
station59;Wind;2019;1;3;3;0.72
station313;Wind;2019;1;3;3;0.814166666666667
station252;Wind;2019;1;3;3;1.84116666666667
station206;Wind;2019;1;3;3;0.723333333333333
station229;Wind;2019;1;3;3;0.960333333333333
station322;Wind;2019;1;3;3;0.983166666666667
station318;Wind;2019;1;3;3;1.13916666666667
station105;Wind;2019;1;3;3;-115.223333333333
station82;Wind;2019;1;3;4;0.606666666666667
station254;Wind;2019;1;3;4;0.7025
station319;Wind;2019;1;3;4;0.600833333333333
station271;Wind;2019;1;3;4;0.956
station349;Wind;2019;1;3;4;-999
station83;Wind;2019;1;3;4;0.788333333333333
station68;Wind;2019;1;3;4;1.13166666666667
station197;Wind;2019;1;3;4;1.54383333333333
station59;Wind;2019;1;3;4;0.981666666666667
station313;Wind;2019;1;3;4;1.00516666666667
station252;Wind;2019;1;3;4;1.32716666666667
station206;Wind;2019;1;3;4;0.835
station229;Wind;2019;1;3;4;0.876
station322;Wind;2019;1;3;4;1.02733333333333
station318;Wind;2019;1;3;4;1.06583333333333
station105;Wind;2019;1;3;4;-148.73
station82;Wind;2019;1;3;5;0.75
station254;Wind;2019;1;3;5;0.542
station319;Wind;2019;1;3;5;0.5785
station271;Wind;2019;1;3;5;1.55066666666667
station349;Wind;2019;1;3;5;-999
station83;Wind;2019;1;3;5;0.971666666666667
station68;Wind;2019;1;3;5;0.693333333333333
station197;Wind;2019;1;3;5;1.46616666666667
station59;Wind;2019;1;3;5;0.921666666666667
station313;Wind;2019;1;3;5;1.44933333333333
station252;Wind;2019;1;3;5;2.179
station206;Wind;2019;1;3;5;0.898333333333333
station229;Wind;2019;1;3;5;1.54766666666667
station322;Wind;2019;1;3;5;1.22816666666667
station318;Wind;2019;1;3;5;1.035
station105;Wind;2019;1;3;5;-148.548333333333
station82;Wind;2019;1;3;6;0.58
station254;Wind;2019;1;3;6;0.625166666666667
station319;Wind;2019;1;3;6;0.628
station271;Wind;2019;1;3;6;1.42783333333333
station349;Wind;2019;1;3;6;-999
station83;Wind;2019;1;3;6;1.135
station68;Wind;2019;1;3;6;0.716666666666666
station197;Wind;2019;1;3;6;1.435
station59;Wind;2019;1;3;6;0.828333333333333
station313;Wind;2019;1;3;6;1.29883333333333
station252;Wind;2019;1;3;6;1.37416666666667
station206;Wind;2019;1;3;6;0.753333333333334
station229;Wind;2019;1;3;6;1.89266666666667
station322;Wind;2019;1;3;6;1.09216666666667
station318;Wind;2019;1;3;6;0.9565
station105;Wind;2019;1;3;6;-132.488333333333
station82;Wind;2019;1;3;7;0.615
station254;Wind;2019;1;3;7;0.517166666666667
station319;Wind;2019;1;3;7;0.598333333333333
station271;Wind;2019;1;3;7;0.803666666666667
station349;Wind;2019;1;3;7;-999
station83;Wind;2019;1;3;7;0.66
station68;Wind;2019;1;3;7;0.591666666666667
station197;Wind;2019;1;3;7;1.11066666666667
station59;Wind;2019;1;3;7;0.938333333333333
station313;Wind;2019;1;3;7;1.2865
station252;Wind;2019;1;3;7;1.19366666666667
station206;Wind;2019;1;3;7;0.713333333333333
station229;Wind;2019;1;3;7;1.02533333333333
station322;Wind;2019;1;3;7;0.9635
station318;Wind;2019;1;3;7;0.910666666666667
station105;Wind;2019;1;3;7;-165.873333333333
station82;Wind;2019;1;3;8;0.67
station254;Wind;2019;1;3;8;0.521666666666667
station319;Wind;2019;1;3;8;0.684333333333333
station271;Wind;2019;1;3;8;0.772166666666667
station349;Wind;2019;1;3;8;-999
station83;Wind;2019;1;3;8;1.235
station68;Wind;2019;1;3;8;0.67
station197;Wind;2019;1;3;8;0.562166666666667
station59;Wind;2019;1;3;8;0.661666666666667
station313;Wind;2019;1;3;8;0.826833333333333
station252;Wind;2019;1;3;8;1.55366666666667
station206;Wind;2019;1;3;8;1.275
station229;Wind;2019;1;3;8;1.67366666666667
station322;Wind;2019;1;3;8;1.28033333333333
station318;Wind;2019;1;3;8;1.14566666666667
station105;Wind;2019;1;3;8;-164.695
station82;Wind;2019;1;3;9;0.821666666666667
station254;Wind;2019;1;3;9;0.989666666666666
station319;Wind;2019;1;3;9;0.939666666666667
station271;Wind;2019;1;3;9;0.840333333333333
station349;Wind;2019;1;3;9;-999
station83;Wind;2019;1;3;9;1.32166666666667
station68;Wind;2019;1;3;9;0.871666666666666
station197;Wind;2019;1;3;9;0.827666666666666
station59;Wind;2019;1;3;9;1
station313;Wind;2019;1;3;9;1.05316666666667
station252;Wind;2019;1;3;9;1.82916666666667
