station;VARIABLE;YEAR;MONTH;DAY;HOUR;Value
station82;Temperature;2019;1;2;15;29.345
station254;Temperature;2019;1;2;15;30.7589999166667
station319;Temperature;2019;1;2;15;30.8936667666667
station271;Temperature;2019;1;2;15;30.2446668666667
station349;Temperature;2019;1;2;15;-999
station83;Temperature;2019;1;2;15;27.0983333333333
station68;Temperature;2019;1;2;15;30.5733333333333
station197;Temperature;2019;1;2;15;30.5243333666667
station59;Temperature;2019;1;2;15;27.705
station313;Temperature;2019;1;2;15;26.5323332166667
station252;Temperature;2019;1;2;15;29.7878335333333
station206;Temperature;2019;1;2;15;27.6366666666667
station229;Temperature;2019;1;2;15;27.92183335
station322;Temperature;2019;1;2;15;30.1558332333333
station318;Temperature;2019;1;2;15;29.7626667166667
station105;Temperature;2019;1;2;15;-159.958333333333
station82;Temperature;2019;1;2;16;29.1816666666667
station254;Temperature;2019;1;2;16;30.6023334
station319;Temperature;2019;1;2;16;30.5934998666667
station271;Temperature;2019;1;2;16;30.0185
station349;Temperature;2019;1;2;16;-999
station83;Temperature;2019;1;2;16;26.435
station68;Temperature;2019;1;2;16;30.2083333333333
station197;Temperature;2019;1;2;16;30.0408331333333
station59;Temperature;2019;1;2;16;27.5916666666667
station313;Temperature;2019;1;2;16;26.0041666333333
station252;Temperature;2019;1;2;16;29.1390000833333
station206;Temperature;2019;1;2;16;26.9566666666667
station229;Temperature;2019;1;2;16;27.2833333666667
station322;Temperature;2019;1;2;16;29.4703333833333
station318;Temperature;2019;1;2;16;29.0154999666667
station105;Temperature;2019;1;2;16;-126.308333333333
station82;Temperature;2019;1;2;17;28.3016666666667
station254;Temperature;2019;1;2;17;29.5638331833333
station319;Temperature;2019;1;2;17;30.09666665
station271;Temperature;2019;1;2;17;29.1728333166667
station349;Temperature;2019;1;2;17;-999
station83;Temperature;2019;1;2;17;25.195
station68;Temperature;2019;1;2;17;29.1683333333333
station197;Temperature;2019;1;2;17;29.0834999
station59;Temperature;2019;1;2;17;26.9766666666667
station313;Temperature;2019;1;2;17;25.5628334333333
station252;Temperature;2019;1;2;17;28.6959999666667
station206;Temperature;2019;1;2;17;25.8933333333333
station229;Temperature;2019;1;2;17;26.3216667166667
station322;Temperature;2019;1;2;17;28.0778333666667
station318;Temperature;2019;1;2;17;27.7066666666667
station105;Temperature;2019;1;2;17;-161.191666666667
station82;Temperature;2019;1;2;18;25.28
station254;Temperature;2019;1;2;18;26.82383325
station319;Temperature;2019;1;2;18;27.6693335
station271;Temperature;2019;1;2;18;27.5793332833333
station349;Temperature;2019;1;2;18;-999
station83;Temperature;2019;1;2;18;23.76
station68;Temperature;2019;1;2;18;27.3216666666667
station197;Temperature;2019;1;2;18;27.1108334666667
station59;Temperature;2019;1;2;18;25.3583333333333
station313;Temperature;2019;1;2;18;22.9364999666667
station252;Temperature;2019;1;2;18;27.0640000666667
station206;Temperature;2019;1;2;18;24.3983333333333
station229;Temperature;2019;1;2;18;25.21766685
station322;Temperature;2019;1;2;18;26.7195000666667
station318;Temperature;2019;1;2;18;26.4831666
station105;Temperature;2019;1;2;18;-146.248333333333
station82;Temperature;2019;1;2;19;23.1983333333333
station254;Temperature;2019;1;2;19;24.0413332
station319;Temperature;2019;1;2;19;24.8351668166667
station271;Temperature;2019;1;2;19;25.2321665833333
station349;Temperature;2019;1;2;19;-999
station83;Temperature;2019;1;2;19;21.8633333333333
station68;Temperature;2019;1;2;19;25.38
station197;Temperature;2019;1;2;19;25.5980000333333
station59;Temperature;2019;1;2;19;23.4366666666667
station313;Temperature;2019;1;2;19;19.7776667333333
